disease_1,disease_2,semantic_similarity
Thyroid cancer,Esophageal squamous cell cancer,0.185840708
Thyroid cancer,Esophageal squamous cell carcinoma,0.185840708
Thyroid cancer,Liver cirrhosis,0.057143926
Thyroid cancer,Early hepatocellular carcinoma,0.304051121
Thyroid cancer,Triple negative breast cancer,0.351665478
Thyroid cancer,Bladder cancer,0.421998728
Thyroid cancer,Atherosclerosis,0.041172339
Thyroid cancer,Ovarian cancer,0.351665478
Thyroid cancer,Papillary thyroid cancer,0.720502458
Thyroid cancer,Papillary thyroid carcinoma,0.720502458
Thyroid cancer,Gastric carcinoma,0.351665478
Thyroid cancer,Nasopharyngeal cancer,0.179487179
Thyroid cancer,Nk/T cell lymphoma,0.030674847
Thyroid cancer,Ischemia,0.071429946
Thyroid cancer,Esophagus adenocarcinoma,0.304051121
Thyroid cancer,Retinoblastoma,0.24904353
Thyroid cancer,Epithelial ovarian cancer,0.304051121
Thyroid cancer,Renal cell cancer,0.071428571
Thyroid cancer,Diffuse large B cell lymphoma,0.24904353
Thyroid cancer,Oral squamous cell carcinoma,0.351665478
Thyroid cancer,Lymphoma,0.351665478
Thyroid cancer,Hemangioma,0.173472727
Thyroid cancer,Myasthenia gravis,0.036757459
Thyroid cancer,Pneumonia,0.057143926
Thyroid cancer,Pediatric neuroblastoma,0.304051121
Thyroid cancer,Leukemia lymphoblastic acute,0.271481054
Thyroid cancer,Tongue squamous cell carcinoma,0.304051121
Thyroid cancer,Melanoma,0.319248128
Thyroid cancer,Nonalcoholic fatty liver disease,0
Thyroid cancer,Epithelial ovarian carcinoma,0.237885463
Thyroid cancer,Herpes simplex keratitis,0
Thyroid cancer,Dysregulated immunity,0
Thyroid cancer,Pre-eclampsia,0.047619921
Thyroid cancer,Chronic obstructive pulmonary disease,0.047619921
Thyroid cancer,Lung adenocarcinoma,0.271481054
Thyroid cancer,T-cell acute lymphoblastic leukemia,0.233510809
Thyroid cancer,Chronic myeloid leukemia,0.271481054
Thyroid cancer,Ovarian clear cell carcinoma,0.233510809
Thyroid cancer,Primary breast cancer,0.421998728
Thyroid cancer,Wilms tumor,0.351665478
Thyroid cancer,Colon and rectal adenocarcinoma,0.304051121
Thyroid cancer,Uveal melanoma,0.271481054
Thyroid cancer,Hypopharyngeal cancer,0.351665478
Thyroid cancer,Cardiac hypertrophy,0
Thyroid cancer,Hepatic carcinoma,0.088235294
Thyroid cancer,Cancer,0.573196756
Thyroid cancer,Tuberculosis,0.071429946
Thyroid cancer,Prader-willi syndrome,0.093360272
Thyroid cancer,Acute promyelocytic leukemia,0.24904353
Thyroid cancer,Heart failure,0.071429946
Thyroid cancer,Uterine leiomyoma,0.099989966
Thyroid cancer,Adenocarcinoma,0.255398362
Thyroid cancer,Lung carcinoma,0.351665478
Thyroid cancer,Head and neck squamous cell carcinoma,0.351665478
Thyroid cancer,Psoriatic arthritis,0.128249503
Thyroid cancer,B-cell lymphoma,0.271481054
Thyroid cancer,Prostate carcinoma,0.304051121
Thyroid cancer,Prostatic neoplasms,0.094736842
Thyroid cancer,Malignant glioma,0.319248128
Thyroid cancer,Epstein-barr virus infections,0
Thyroid cancer,Stomach cancer,0.421998728
Thyroid cancer,Urinary bladder cancer,0.421998728
Thyroid cancer,Colon carcinoma,0.24904353
Thyroid cancer,Gallbladder cancer,0.351665478
Thyroid cancer,Liposarcoma,0.304051121
Thyroid cancer,Meningioma,0.351665478
